COUNTY_ID,COUNTY,H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME
縣市代碼,縣市名稱,戶數,人口數,男性人口數,女性人口數,資料時間
65000,新北市,1606814,4030954,1968355,2062599,"109Y12M"
63000,臺北市,1061000,2602418,1238618,1363800,"109Y12M"
68000,桃園市,846169,2268807,1124276,1144531,"109Y12M"
66000,臺中市,1002890,2820787,1385436,1435351,"109Y12M"
67000,臺南市,703564,1874917,933869,941048,"109Y12M"
64000,高雄市,1119481,2765932,1364243,1401689,"109Y12M"
10002,宜蘭縣,172570,453087,228318,224769,"109Y12M"
10004,新竹縣,205836,570775,291376,279399,"109Y12M"
10005,苗栗縣,193354,542590,279638,262952,"109Y12M"
10007,彰化縣,396520,1266670,643831,622839,"109Y12M"
10008,南投縣,179592,490832,250825,240007,"109Y12M"
10009,雲林縣,243987,676873,350137,326736,"109Y12M"
10010,嘉義縣,184641,499481,259138,240343,"109Y12M"
10013,屏東縣,291663,812658,414006,398652,"109Y12M"
10014,臺東縣,83595,215261,110615,104646,"109Y12M"
10015,花蓮縣,127396,324372,164026,160346,"109Y12M"
10016,澎湖縣,42002,105952,54516,51436,"109Y12M"
10017,基隆市,155464,367577,183304,184273,"109Y12M"
10018,新竹市,170944,451412,222717,228695,"109Y12M"
10020,嘉義市,101155,266005,128670,137335,"109Y12M"
09020,金門縣,41789,140597,70183,70414,"109Y12M"
09007,連江縣,3388,13279,7668,5611,"109Y12M"
