COUNTY_ID,COUNTY,LINF01_T,LINF01_C1,LINF01_C2,LINF01_C3,LINF01_C4,LINF01_C5,LINF01_C6,LINF01_C7,LINF01_C8,LINF01_C9,LINF01_C10,LINF01_C11,LINF01_C12,LINF02_T,LINF02_C1,LINF02_C2,LINF02_C3,LINF02_C4,LINF02_C5,LINF02_C6,LINF02_C7,LINF02_C8,LINF02_C9,LINF02_C10,LINF02_C11,LINF02_C12,LINF03_T,LINF03_C1,LINF03_C2,LINF03_C3,LINF03_C4,LINF03_C5,LINF03_C6,LINF03_C7,LINF03_C8,LINF03_C9,LINF03_C10,LINF03_C11,LINF03_C12,LINF04_T,LINF04_C1,LINF04_C2,LINF04_C3,LINF04_C4,LINF04_C5,LINF04_C6,LINF04_C7,LINF04_C8,LINF04_C9,LINF04_C10,LINF04_C11,LINF04_C12,LINF05_T,LINF05_C1,LINF05_C2,LINF05_C3,LINF05_C4,LINF05_C5,LINF05_C6,LINF05_C7,LINF05_C8,LINF05_C9,LINF05_C10,LINF05_C11,LINF05_C12,LINF06_T,LINF06_C1,LINF06_C2,LINF06_C3,LINF06_C4,LINF06_C5,LINF06_C6,LINF06_C7,LINF06_C8,LINF06_C9,LINF06_C10,LINF06_C11,LINF06_C12,INFO_TIME
郡カ絏,郡カ嘿,ぃó_篈璸瓷计,ぃó_そ碕瓷计,ぃó_硓ぱ瓷计,ぃó_┍(┍鏓)瓷计,ぃó_快そ坝穨加瓷计,ぃó_加瓷计,ぃó_地稨瓷计,ぃó_甅┬瓷计,ぃó_紅瓷计,ぃó_紅快瓷计,ぃó_笰瓷计,ぃó_畐瓷计,ぃó_ㄤ篈瓷计,ぃó_篈璸縩,ぃó_そ碕縩,ぃó_硓ぱ縩,ぃó_┍(┍鏓)縩,ぃó_快そ坝穨加縩,ぃó_加縩,ぃó_地稨縩,ぃó_甅┬縩,ぃó_紅縩,ぃó_紅快縩,ぃó_笰縩,ぃó_畐縩,ぃó_ㄤ篈縩,ぃó_篈俱砰い计┬基,ぃó_そ碕い计┬基,ぃó_硓ぱい计┬基,ぃó_┍(┍鏓)い计┬基,ぃó_快そ坝穨加い计┬基,ぃó_加い计┬基,ぃó_地稨い计┬基,ぃó_甅┬い计┬基,ぃó_紅い计┬基,ぃó_紅快い计┬基,ぃó_笰い计┬基,ぃó_畐い计┬基,ぃó_ㄤ篈い计┬基,ó_篈璸瓷计,ó_そ碕瓷计,ó_硓ぱ瓷计,ó_┍(┍鏓)瓷计,ó_快そ坝穨加瓷计,ó_加瓷计,ó_地稨瓷计,ó_甅┬瓷计,ó_紅瓷计,ó_紅快瓷计,ó_笰瓷计,ó_畐瓷计,ó_ㄤ篈瓷计,ó_篈璸縩,ó_そ碕縩,ó_硓ぱ縩,ó_┍(┍鏓)縩,ó_快そ坝穨加縩,ó_加縩,ó_地稨縩,ó_甅┬縩,ó_紅縩,ó_紅快縩,ó_笰縩,ó_畐縩,ó_ㄤ篈縩,ó_篈俱砰い计┬基,ó_そ碕い计┬基,ó_硓ぱい计┬基,ó_┍(┍鏓)い计┬基,ó_快そ坝穨加い计┬基,ó_加い计┬基,ó_地稨い计┬基,ó_甅┬い计┬基,ó_紅い计┬基,ó_紅快い计┬基,ó_笰い计┬基,ó_畐い计┬基,ó_ㄤ篈い计┬基,戈丁
65000,穝カ,33406,9811,1411,176,153,16591,4128,845,56,113,3,2,117,1155727.58,260456.07,97661.02,6009.17,6568.89,612823.03,136075.34,11744.59,9809.82,11088.26,167.18,161.37,3162.84,9600000,7700000,13400000,15000000,15200000,12000000,9000000,4400000,39888574,26000000,6700000,3200000,8990000,10929,260,318,41,38,7913,2161,80,22,84,,,12,588998.72,13570.24,31529.32,1848.49,2770.32,410480.38,111574.93,1929.04,3382.62,10303.14,,,1610.25,13080000,10000000,21400000,16150000,19875000,13400000,11880000,6325000,36000000,25800000,,,14300000,"109Y"
63000,籓カ,17901,5864,591,163,189,5882,4302,773,7,51,,1,78,579753.04,163462.5,25041.8,4974.49,10255.53,217721.43,137150.57,9828.31,773.88,8031.31,,3.13,2510.07,15380000,13350000,24250000,25000000,23280000,20000000,17000000,8000000,12380000,54480000,,1200000,13275000,4381,107,60,23,65,2398,1584,76,6,32,,,30,252671.73,4678.04,4964.4,1341.43,5408.92,143029.68,85496.23,1673.69,668.18,3562.01,,,1849.16,26500000,17680000,47690000,31250000,32500000,29840556,23075000,10825000,48333333,43573416,,,20550000,"109Y"
68000,堕カ,22393,2370,6186,194,58,9407,3246,644,81,50,81,,76,1011250.83,64630.64,425551.57,9756.74,3594.65,350007.89,97775.05,7960.7,35771.09,9975.13,4238.09,,1989.29,6500000,3485000,9000000,11952250,12920000,7300000,4550000,1860000,70000000,24000000,17000000,,1200000,9222,188,673,54,39,6012,2162,57,4,19,1,,13,496194.91,7758.9,60256.87,3542.1,2397.48,308983.24,97571.3,1530.6,10775.58,2740.24,118.73,,519.89,8267000,4450000,14980000,14840000,15500000,8600000,6600000,4700000,348822650,15000000,56880000,,6600000,"109Y"
66000,籓いカ,21630,2311,8976,195,58,6161,2948,838,62,21,23,8,29,992712.06,67573.87,552088.78,9342.16,4040.6,231974.74,82124.84,9699.65,26736.98,2116.96,1426.52,1498.11,4088.86,7243500,4060000,11500000,9600000,6965000,6660000,4515000,1650000,64597700,40995000,29495547,616493,7782410,10921,131,412,67,236,7862,2154,55,,,,,4,568668.77,5886.43,39169.83,4183.52,21649.47,407325.52,89126.28,1122.47,,,,,205.25,8830000,6000000,18280000,12000000,23500000,9380000,6560000,3280000,,,,,5650000,"109Y"
67000,籓玭カ,14028,1068,8443,134,27,2256,1611,303,85,53,31,1,16,696782.98,28998.33,499082.66,9063.08,1074.38,94868.69,41758.82,3099.33,5439.9,8109.58,2609.9,15.7,2662.61,6580000,2700000,8500000,13800000,2755714,5400000,3290000,1070000,6500000,14500000,2833333,1600000,6666667,3221,65,38,9,6,1917,1167,17,,,,,2,178815.55,3353.44,16114.65,621.03,329.6,99404.22,58594.08,330.32,,,,,68.21,6150000,4900000,12500000,8700000,5062500,6800000,5300000,2650000,,,,,5335000,"109Y"
64000,蔼动カ,22122,3198,8882,131,49,7672,1662,396,57,48,15,1,11,965370.73,83789.26,501979.69,10604.74,2548.66,291829.92,49567.53,4491.24,7821.9,10929.55,1134.3,86.56,587.4,5600000,3000000,9300000,14500000,5050000,5500000,3600000,1380000,15840000,12000000,14250000,365300,4500000,7976,31,79,10,38,7070,715,20,1,12,,,,416787.78,1323.68,8203.63,571.56,3140.53,370623.31,30972.7,477.24,97.54,1377.59,,,,7990000,4790000,17380000,13350000,11990000,8265000,5380000,3750000,8583000,11650000,,,,"109Y"
10002,﹜孽郡,3790,249,2317,12,,370,595,155,2,4,71,1,14,174552.33,7380.33,128722.44,764.39,,11559.9,16237.03,2685.03,653.71,411.62,5644.91,158.32,334.64,7000000,3400000,8680000,16500000,,6660000,4200000,2980000,38512500,10800000,16250000,32280000,4725000,554,21,27,2,,190,300,9,,,,,5,25941.47,864.07,2229.8,57.19,,9531.04,12841.35,187.04,,,,,230.98,6500000,4150000,11200000,4440000,,10605000,5737900,5000000,,,,,2950000,"109Y"
10004,穝λ郡,4420,194,2043,49,3,1128,832,99,13,7,47,3,2,251035.31,5883.52,137602.06,2779.16,161.2,51596.02,21140.46,1254.72,6482.18,20524.23,3354.17,162.94,94.65,7200000,2900000,9800000,15880000,8000000,7400000,3800000,1790000,83440000,135142000,21800000,584600,7600000,3114,46,101,34,7,2085,811,24,2,4,,,,170031.4,1792.29,7058.51,1796.51,520.21,123138.55,32627.62,588.61,322.87,2186.23,,,,9600000,4000000,11600000,19350000,11520000,11200000,5860000,5250000,29150000,92775000,,,,"109Y"
10005,璢郡,3480,330,1804,22,2,620,564,76,17,3,26,,16,208325.67,10104.29,117073.67,1288.9,83.8,23827.02,28986.83,714.18,14674.37,9870.04,1500.06,,202.51,5650000,2456651,7800000,12250000,3825000,6000000,3760000,450000,47720000,86150000,9190000,,1538462,986,9,54,3,5,322,583,3,,6,,,1,48092.73,505.71,4657.18,134.18,372.72,15946.53,23176.74,50.55,,3208.74,,,40.38,6000000,5800000,13545000,3150000,4700000,7145000,5500000,1800000,,26780000,,,1900000,"109Y"
10007,裹て郡,5132,179,4375,16,3,237,223,17,25,8,24,,25,301220.35,5395,251052.05,12092.11,265.29,9238.82,6882.17,197.15,7362.76,1532.18,1103.79,,6099.04,7380000,3300000,7800000,16305000,7560000,5020000,3800000,1400000,19500000,24000000,10700000,,10000000,458,8,79,3,,203,161,4,,,,,,23634.7,308.52,6381.78,150.39,,9877.09,6878.21,38.71,,,,,,5700000,4590000,8100000,13000000,,6020000,5000000,950000,,,,,,"109Y"
10008,玭щ郡,2094,53,1700,29,,102,152,10,4,4,33,2,5,114091.73,1173.36,90996.79,2729.89,,2910.43,4668.47,145.18,5975.47,1961.98,1794.07,54.58,1681.52,5750000,1800000,6660000,11000000,,3125000,3000000,1325000,166900000,125227500,9000000,4285000,9231450,107,3,17,,,37,50,,,,,,,4496.95,143.15,934.15,,,1517.1,1902.54,,,,,,,4455000,4000000,6500000,,,4250000,4375000,,,,,,,"109Y"
10009,冻狶郡,3134,89,2415,23,5,108,324,83,16,15,24,,32,189127.11,3846.36,137428.04,1439.51,238.94,3215.39,8667.42,687.79,12729.82,11549.88,3891.73,,5432.23,6090000,3460000,6800000,13800000,7083333,2640000,2800000,950000,49000000,63258400,15750000,,3400000,202,32,29,,,47,91,3,,,,,,9691.29,1443.06,2754.03,,,2049.27,3393.21,51.72,,,,,,3765000,2690000,10100000,,,3730000,3850000,1900000,,,,,,"109Y"
10010,古竡郡,2117,78,1644,23,,56,149,119,28,,6,3,11,120506.34,2160.61,97476.55,1212.48,,1936.75,2919.66,1102.09,9242.83,,297.92,1362.18,2795.28,4100000,2260000,4900000,5300000,,2800000,890000,650000,10343315,,6375000,5000000,12173000,115,4,39,1,,32,37,2,,,,,,5180.19,159.83,2044,27.56,,1443.52,1460.94,44.33,,,,,,4800000,3050000,6880000,2250000,,5060000,3000000,1730000,,,,,,"109Y"
10013,狥郡,5002,361,3527,21,3,320,633,91,2,1,19,3,21,244072.61,17450.34,195244.27,1156.43,57.82,10790.59,13403.27,1013.84,130.93,554.33,1001.84,30.06,3238.9,4100000,2100000,6000000,9200000,1400000,3260000,1000000,810000,9465725,31000000,7500000,1966667,2000000,610,7,9,,2,185,407,,,,,,,26174.29,246.48,519.38,,71.56,8731.89,16604.98,,,,,,,4700000,2820000,9500000,,2150000,4200000,5000000,,,,,,,"109Y"
10014,籓狥郡,1308,56,807,15,1,30,374,9,,,10,,6,61771.24,1700.28,41205.8,938.45,86.67,987.2,15939.94,104.71,,,656.26,,151.93,4300000,3400000,6980000,7600000,8100000,3875000,3475000,1400000,,,6450000,,3600000,10,,1,,,,9,,,,,,,357.15,,32.84,,,,324.31,,,,,,,4600000,,6660000,,,,4550000,,,,,,,"109Y"
10015,浆郡,3041,190,1561,22,2,348,729,139,5,1,44,,,118823.07,6407.11,77255.91,1248.58,58.88,8589.2,19962.14,1878.93,194,120.62,3107.7,,,5200000,3525000,7300000,7750000,3500000,5230271,4000000,2400000,15500000,32000000,18150000,,,214,28,10,,,23,126,27,,,,,,8123.46,1221.21,706.47,,,1568.66,4155.49,471.62,,,,,,5100000,3450000,15440000,,,13200000,5650000,3540000,,,,,,"109Y"
10016,缄打郡,296,21,197,1,,2,73,,1,,1,,,12439.45,386.71,9542.59,86.75,,63.66,2287.83,,43.43,,28.47,,,4800000,1830000,6350000,19000000,,3100000,4200000,,740000,,2300000,,,31,1,,,,6,24,,,,,,,1408.08,51.68,,,,333.86,1022.54,,,,,,,5300000,6200000,,,,5440000,5250000,,,,,,,"109Y"
10017,膀订カ,3472,1563,354,45,8,866,564,61,6,,,,5,110746.36,40852.95,16920.4,1359.45,321.81,29908.19,19242.84,698.49,900.46,,,,541.77,3750000,3000000,7200000,7500000,6810503,6050000,4700000,1680000,55933333,,,,3000000,983,48,69,3,,558,292,12,,1,,,,48193.84,2138.66,5322.75,97.94,,26658.33,13610.04,297.98,,68.14,,,,7400000,5000000,12750000,9500000,,7190000,7500000,3050000,,8200000,,,,"109Y"
10018,穝λカ,3646,390,1258,26,8,983,764,211,3,1,2,,,157819.36,10271.37,80631.45,1672.03,262.85,40872.12,21058.97,2548.86,324.85,107.49,69.35,,,7600000,3995000,12500000,13950000,7810000,9300000,5035000,2000000,30000000,25000000,10794533,,,2043,42,30,2,5,1218,707,33,,4,,,2,103389.08,1697.69,2542.49,141.65,290.71,67385.19,28308.07,629.55,,492.62,,,1901.11,9050000,4150000,16575000,20940000,11500000,12000000,7000000,3600000,,18166667,,,96250000,"109Y"
10020,古竡カ,2416,167,1203,22,5,440,451,121,,1,3,1,2,98998.36,4640.13,63462.57,1298.66,509.95,14067.86,12868.79,1471.4,,194.91,140.1,327.72,16.27,4100000,2300000,8500000,11840000,28362500,3500000,3000000,1300000,,15600000,10080000,26500000,940000,407,5,56,11,,201,132,2,,,,,,21067.45,243.69,4224.5,957.12,,9567.77,6054.49,19.88,,,,,,5700000,3500000,13150000,18380000,,5550000,5000000,1125000,,,,,,"109Y"
09020,郡,462,165,85,3,1,18,179,2,,,5,,4,15197.1,3751.78,4607.86,110.39,34.26,673.64,5361.04,46.94,,,415.66,,195.51,5665000,4130000,9800000,4700000,4800000,11285000,5700000,7050000,,,14000000,,13250000,27,8,15,,,,4,,,,,,,1565.13,340.79,1087.59,,,,136.75,,,,,,,15620000,6175000,16000000,,,,6450000,,,,,,,"109Y"
09007,硈郡,8,,,,,,8,,,,,,,216.13,,,,,,216.13,,,,,,,2711250,,,,,,2711250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"109Y"
