TAG,COUNTY_ID,COUNTY,FLD01,FLD02,FLD03,FLD04,FLD05,FLD06,FLD07,INFO_TIME
標籤,縣市代碼,縣市名稱,機動車輛數(輛),發生件數,A1類,A2類,死亡人數,受傷人數,肇事率(件/萬輛),資料時間
,65000,新北市,3230678,36384,160,36224,161,48914,112.94,"108Y"
,63000,臺北市,1767624,22882,83,22799,83,29511,129.81,"108Y"
,68000,桃園市,2033595,42651,147,42504,149,55676,212.93,"108Y"
,66000,臺中市,2835886,42587,184,42403,188,56195,151.11,"108Y"
,67000,臺南市,2012686,38770,176,38594,181,52434,194.03,"108Y"
,64000,高雄市,2941451,42517,197,42320,200,59684,145.18,"108Y"
,10002,宜蘭縣,433380,7958,54,7904,56,10676,184.31,"108Y"
,10004,新竹縣,528328,10029,51,9978,51,12790,192.05,"108Y"
,10005,苗栗縣,545004,6565,65,6500,65,8518,120.63,"108Y"
,10007,彰化縣,1324339,20012,131,19881,131,26342,151.6,"108Y"
,10008,南投縣,527072,7073,61,7012,64,9126,134.29,"108Y"
,10009,雲林縣,710201,10008,89,9919,93,12876,141.74,"108Y"
,10010,嘉義縣,529905,7056,82,6974,83,9337,133.66,"108Y"
,10013,屏東縣,913885,16561,111,16450,112,22709,181.41,"108Y"
,10014,臺東縣,235085,3813,41,3772,42,4763,162.62,"108Y"
,10015,花蓮縣,327267,5337,37,5300,37,7197,163.51,"108Y"
,10016,澎湖縣,112345,866,6,860,6,1311,78.05,"108Y"
,10017,基隆市,281968,4158,12,4146,13,5638,147.85,"108Y"
,10018,新竹市,426625,8684,25,8659,25,11629,205.13,"108Y"
,10020,嘉義市,273858,3007,12,2995,12,3912,110.24,"108Y"
,09020,金門縣,110069,897,5,892,5,1184,83.19,"108Y"
,09007,連江縣,10556,49,2,47,2,64,47.36,"108Y"
X,P001,署所屬機關,,4108,83,4025,90,5892,,"108Y"
